tag,scenario,mode,vision_only,audio_backend,rep,rc,seconds,started_iso,out_path
centralized-r3,audio_alarm_clock_01,centralized,False,auto,3,0,27.6,2026-08-18T16:53:22,results/run_audio_alarm_clock_01_centralized-r3.json
centralized-r4,audio_alarm_clock_01,centralized,False,auto,4,0,27.6,2026-08-18T16:53:49,results/run_audio_alarm_clock_01_centralized-r4.json
centralized-visiononly-r1,audio_alarm_clock_01,centralized,True,auto,1,0,8.4,2026-08-18T16:54:17,results/run_audio_alarm_clock_01_centralized-visiononly-r1.json
centralized-visiononly-r2,audio_alarm_clock_01,centralized,True,auto,2,0,8.4,2026-08-18T16:54:25,results/run_audio_alarm_clock_01_centralized-visiononly-r2.json
centralized-visiononly-r3,audio_alarm_clock_01,centralized,True,auto,3,0,8.4,2026-08-18T16:54:34,results/run_audio_alarm_clock_01_centralized-visiononly-r3.json
centralized-visiononly-r4,audio_alarm_clock_01,centralized,True,auto,4,0,8.3,2026-08-18T16:54:42,results/run_audio_alarm_clock_01_centralized-visiononly-r4.json
mas-auction-r1,audio_alarm_siren_01,mas-auction,False,auto,1,0,45.2,2026-08-18T16:54:50,results/run_audio_alarm_siren_01_mas-auction-r1.json
mas-auction-r2,audio_alarm_siren_01,mas-auction,False,auto,2,0,44.3,2026-08-18T16:55:35,results/run_audio_alarm_siren_01_mas-auction-r2.json
mas-auction-r3,audio_alarm_siren_01,mas-auction,False,auto,3,0,44.6,2026-08-18T16:56:20,results/run_audio_alarm_siren_01_mas-auction-r3.json
mas-auction-r4,audio_alarm_siren_01,mas-auction,False,auto,4,0,44.4,2026-08-18T16:57:04,results/run_audio_alarm_siren_01_mas-auction-r4.json
mas-auction-visiononly-r1,audio_alarm_siren_01,mas-auction,True,auto,1,0,8.3,2026-08-18T16:57:49,results/run_audio_alarm_siren_01_mas-auction-visiononly-r1.json
mas-auction-visiononly-r2,audio_alarm_siren_01,mas-auction,True,auto,2,0,8.4,2026-08-18T16:57:57,results/run_audio_alarm_siren_01_mas-auction-visiononly-r2.json
mas-auction-visiononly-r3,audio_alarm_siren_01,mas-auction,True,auto,3,0,8.4,2026-08-18T16:58:06,results/run_audio_alarm_siren_01_mas-auction-visiononly-r3.json
mas-auction-visiononly-r4,audio_alarm_siren_01,mas-auction,True,auto,4,0,8.4,2026-08-18T16:58:14,results/run_audio_alarm_siren_01_mas-auction-visiononly-r4.json
mas-rules-r1,audio_alarm_siren_01,mas-rules,False,auto,1,0,44.7,2026-08-18T16:58:22,results/run_audio_alarm_siren_01_mas-rules-r1.json
mas-rules-r2,audio_alarm_siren_01,mas-rules,False,auto,2,0,44.5,2026-08-18T16:59:07,results/run_audio_alarm_siren_01_mas-rules-r2.json
mas-rules-r3,audio_alarm_siren_01,mas-rules,False,auto,3,0,44.4,2026-08-18T16:59:51,results/run_audio_alarm_siren_01_mas-rules-r3.json
mas-rules-r4,audio_alarm_siren_01,mas-rules,False,auto,4,0,45.1,2026-08-18T17:00:36,results/run_audio_alarm_siren_01_mas-rules-r4.json
mas-rules-visiononly-r1,audio_alarm_siren_01,mas-rules,True,auto,1,0,8.4,2026-08-18T17:01:21,results/run_audio_alarm_siren_01_mas-rules-visiononly-r1.json
mas-rules-visiononly-r2,audio_alarm_siren_01,mas-rules,True,auto,2,0,8.4,2026-08-18T17:01:29,results/run_audio_alarm_siren_01_mas-rules-visiononly-r2.json
mas-rules-visiononly-r3,audio_alarm_siren_01,mas-rules,True,auto,3,0,8.4,2026-08-18T17:01:38,results/run_audio_alarm_siren_01_mas-rules-visiononly-r3.json
mas-rules-visiononly-r4,audio_alarm_siren_01,mas-rules,True,auto,4,0,8.3,2026-08-18T17:01:46,results/run_audio_alarm_siren_01_mas-rules-visiononly-r4.json
mas-nocoord-r1,audio_alarm_siren_01,mas-nocoord,False,auto,1,0,43.4,2026-08-18T17:01:54,results/run_audio_alarm_siren_01_mas-nocoord-r1.json
